---常用---
肝粉
五樹根
黃精
呂楊
黃枝
青梅
糙米粉
肝元
血元
地壁草
黑蘭
水源丹
血風藤
利金藤
松陽
氧血丸
落地根
青綠根
柏粉
曲中草
百草粉
花心
花葉
心肺丸
回生草
松粉
白令
兩鳳儀
七厘散
養生粉
白元
解毒丹
--字首排序--
七君草
七果汁
九龍枝
二水茶
人參鬚
力筋草
三角龍
三陽葉
上清
凡觀
大血光
小血藤
山英
川陰
五方奇
六元君
六身
天龍
天蠶
心血
心皇
火龍丹
加龍
白水
白仙鬚
白蛇草
地蔘
地龍丹
地靈芝
朱血
米糠
舌紅兒
血中血
血龍丹
行氣茶
赤心
赤龍皮
兩儀
刺皇山
松根
松義
金元根
金帝
長舌根
青辣椒
青龍
青薑
南薑
柚子粉
柳軟
紅柏
紅神
苦瓜
英里草
風儀
香君
香茅
香根
凍粉
師映蘇
核桃
荔枝
旋風草
欲生根
野當
陳皮
雪鳳果
鹿耳
割龍
寒月
無愚根
痠骨粉
陽神
順虎
黃丁
黃令
黃果
黃金貴
黃金龍
黃酸枝
黑元
黑石草
黑薑
經胰
萬坡刺
福元
辣椒
熱生龍
橄欖
頭粉
龍珠
龍精
薑黃
斷根草
檸檬
蟠桃子
雙眼草
藤薑
藥王
櫻花
鬚根
---藥酒---
養生酒
血龍酒
凍酒
百草酒
肝血酒
血元酒
松柏酒
經胰酒
夜馬酒
山泉水
白醋
